id,topic,difficulty,question_text,image_filename,option_a,option_b,option_c,option_d,correct_answer,explanation
1,Algebra,Medium,"The system of equations 2x+3y=7 and 4x−3y=5 has a solution (x,y). What is the value of x?",,1,2,3,4,B,"Add the two equations: (2x+3y)+(4x−3y)=7+5, which simplifies to 6x=12. Dividing by 6 gives x=2."
2,Advanced Math,Hard,The function f(x)=x2−6x+8 is graphed in the xy-plane. What is the y-coordinate of the vertex of the graph?,parabola_q2.png,-1,1,3,8,A,The x-coordinate of the vertex is x=−b/(2a)=−(−6)/(2⋅1)=3. The y-coordinate is f(3)=(3)2−6(3)+8=9−18+8=−1.
3,Geometry & Trigonometry,Medium,"In a right triangle, one angle measures x∘, and sin(x∘)=3/5. What is the value of cos(90∘−x∘)?",triangle_q3.png,3/5,4/5,5/3,1,A,"Due to the co-function identity, cos(90∘−x∘)=sin(x∘). Since sin(x∘)=3/5, then cos(90∘−x∘)=3/5."
4,Problem Solving & Data Analysis,Medium,"A box contains red and blue marbles in a ratio of 3:5. If there are 32 marbles in total, how many are blue?",,12,15,20,24,C,The ratio parts are 3+5=8. The value of one part is 32/8=4. Blue marbles are 5×4=20.
5,Algebra,Medium,"The graph of y=3x+b passes through the point (1,−2). What is the value of b?",,1,-1,5,-5,D,"Substitute the point (1,−2) into the equation: −2=3(1)+b. This gives −2=3+b, so b=−5."
6,Advanced Math,Hard,"If 2x=8x−1, what is the value of x?",,1,2/3,3/2,3,C,"Rewrite the equation with the same base: 2x=(23)x−1. This simplifies to 2x=23x−3. Since the bases are the same, the exponents must be equal: x=3x−3. Subtract x and add 3: 3=2x. x=3/2."
7,Geometry & Trigonometry,Hard,A circle in the xy-plane has equation (x−5)2+(y+2)2=16. What is the radius of the circle?,,2,4,8,16,B,"The standard equation of a circle is (x−h)2+(y−k)2=r2. Here, r2=16, so the radius r=16​=4."
8,Problem Solving & Data Analysis,Medium,"The mean (average) of a set of 5 numbers is 12. If a sixth number, 18, is added to the set, what is the new mean?",,13,14,15,16,A,The sum of the original 5 numbers is 5×12=60. The new sum is 60+18=78. The new mean is 78/6=13.
9,Advanced Math,Hard,"If P(x)=x3−5x2+2x+8, and P(2)=0, which of the following must be a factor of P(x)?",,(x+2),(x−2),(x−8),(x+8),B,"The Factor Theorem states that if P(a)=0, then (x−a) is a factor. Since P(2)=0, (x−2) must be a factor."
10,Algebra,Medium,Which of the following values of x satisfies the inequality 2x−1<9?,,4,6,7,8,A,Add 1 to both sides: 2x<10. Divide by 2: x<5. Only x=4 is less than 5.
